0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "GET /AngularTest/index.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "GET /AngularTest/js/vendor/underscore-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "GET /AngularTest/js/vendor/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "GET /AngularTest/js/vendor/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "GET /AngularTest/js/vendor/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "GET /AngularTest/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "GET /AngularTest/js/routes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "GET /AngularTest/js/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "GET /AngularTest/js/controller.js HTTP/1.1" 200 12916
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "GET /AngularTest/pages/performanceSummary.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "HEAD /AngularTest/%7B%7Bcontent%7D%7D HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:34 -0600] "POST /RESTfulExample/rest/metallica/getPerformanceSummaryTO/12345 HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:35 -0600] "POST /RESTfulExample/rest/metallica/postJson HTTP/1.1" 201 57
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "GET /AngularTest/index.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "GET /AngularTest/js/vendor/underscore-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "GET /AngularTest/js/vendor/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "GET /AngularTest/js/vendor/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "GET /AngularTest/js/vendor/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "GET /AngularTest/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "GET /AngularTest/js/routes.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "GET /AngularTest/js/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "GET /AngularTest/js/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "GET /AngularTest/pages/performanceSummary.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "HEAD /AngularTest/%7B%7Bcontent%7D%7D HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:14:35:53 -0600] "POST /RESTfulExample/rest/metallica/getPerformanceSummaryTO/12345 HTTP/1.1" 200 887
127.0.0.1 - - [18/Feb/2016:14:48:08 -0600] "POST /RESTfulExample/rest/metallica/post HTTP/1.1" 201 70
127.0.0.1 - - [18/Feb/2016:14:48:22 -0600] "POST /RESTfulExample/rest/metallica/postJson HTTP/1.1" 201 57
